id,day_id,date,month_id,year_id
254,6,11,9,1971
255,7,12,9,1971
256,1,13,9,1971
257,2,14,9,1971
258,3,15,9,1971
259,4,16,9,1971
260,5,17,9,1971
261,6,18,9,1971
262,7,19,9,1971
263,1,20,9,1971
264,2,21,9,1971
265,3,22,9,1971
266,4,23,9,1971
267,5,24,9,1971
268,6,25,9,1971
269,7,26,9,1971
270,1,27,9,1971
271,2,28,9,1971
272,3,29,9,1971
273,4,30,9,1971
274,5,1,10,1971
275,6,2,10,1971
276,7,3,10,1971
277,1,4,10,1971
278,2,5,10,1971
279,3,6,10,1971
280,4,7,10,1971
281,5,8,10,1971
282,6,9,10,1971
283,7,10,10,1971
284,1,11,10,1971
285,2,12,10,1971
286,3,13,10,1971
287,4,14,10,1971
288,5,15,10,1971
289,6,16,10,1971
290,7,17,10,1971
291,1,18,10,1971
292,2,19,10,1971
293,3,20,10,1971
294,4,21,10,1971
295,5,22,10,1971
296,6,23,10,1971
297,7,24,10,1971
298,1,25,10,1971
299,2,26,10,1971
300,3,27,10,1971
301,4,28,10,1971
302,5,29,10,1971
303,6,30,10,1971
304,7,31,10,1971
305,1,1,11,1971
306,2,2,11,1971
307,3,3,11,1971
308,4,4,11,1971
309,5,5,11,1971
310,6,6,11,1971
311,7,7,11,1971
312,1,8,11,1971
313,2,9,11,1971
314,3,10,11,1971
315,4,11,11,1971
316,5,12,11,1971
317,6,13,11,1971
318,7,14,11,1971
319,1,15,11,1971
320,2,16,11,1971
321,3,17,11,1971
322,4,18,11,1971
323,5,19,11,1971
324,6,20,11,1971
325,7,21,11,1971
326,1,22,11,1971
327,2,23,11,1971
328,3,24,11,1971
329,4,25,11,1971
330,5,26,11,1971
331,6,27,11,1971
332,7,28,11,1971
333,1,29,11,1971
334,2,30,11,1971
335,3,1,12,1971
336,4,2,12,1971
337,5,3,12,1971
338,6,4,12,1971
339,7,5,12,1971
340,1,6,12,1971
341,2,7,12,1971
342,3,8,12,1971
343,4,9,12,1971
344,5,10,12,1971
345,6,11,12,1971
346,7,12,12,1971
347,1,13,12,1971
348,2,14,12,1971
349,3,15,12,1971
350,4,16,12,1971
351,5,17,12,1971
352,6,18,12,1971
353,7,19,12,1971
354,1,20,12,1971
355,2,21,12,1971
356,3,22,12,1971
357,4,23,12,1971
358,5,24,12,1971
359,6,25,12,1971
360,7,26,12,1971
361,1,27,12,1971
362,2,28,12,1971
363,3,29,12,1971
364,4,30,12,1971
365,5,31,12,1971
366,6,1,1,1972
367,7,2,1,1972
368,1,3,1,1972
369,2,4,1,1972
370,3,5,1,1972
371,4,6,1,1972
372,5,7,1,1972
373,6,8,1,1972
374,7,9,1,1972
375,1,10,1,1972
376,2,11,1,1972
377,3,12,1,1972
378,4,13,1,1972
379,5,14,1,1972
380,6,15,1,1972
381,7,16,1,1972
382,1,17,1,1972
383,2,18,1,1972
384,3,19,1,1972
385,4,20,1,1972
386,5,21,1,1972
387,6,22,1,1972
388,7,23,1,1972
389,1,24,1,1972
390,2,25,1,1972
391,3,26,1,1972
392,4,27,1,1972
393,5,28,1,1972
394,6,29,1,1972
395,7,30,1,1972
396,1,31,1,1972
397,2,1,2,1972
398,3,2,2,1972
399,4,3,2,1972
400,5,4,2,1972
401,6,5,2,1972
402,7,6,2,1972
403,1,7,2,1972
404,2,8,2,1972
405,3,9,2,1972
406,4,10,2,1972
407,5,11,2,1972
408,6,12,2,1972
409,7,13,2,1972
410,1,14,2,1972
411,2,15,2,1972
412,3,16,2,1972
413,4,17,2,1972
414,5,18,2,1972
415,6,19,2,1972
416,7,20,2,1972
417,1,21,2,1972
418,2,22,2,1972
419,3,23,2,1972
420,4,24,2,1972
421,5,25,2,1972
422,6,26,2,1972
423,7,27,2,1972
424,1,28,2,1972
425,2,29,2,1972
426,3,1,3,1972
427,4,2,3,1972
428,5,3,3,1972
429,6,4,3,1972
430,7,5,3,1972
